timestamps,eeg_1,eeg_2,eeg_3,eeg_4,ppg_1,ppg_2,ppg_3
1553360314.5986836,875.970703125,821.575073242,812.710632324,809.487182617,,,
1553360314.6015000,,,,,,,
1553360314.6025825,907.399291992,817.948730469,815.128234863,867.106201172,,,
1553360314.6064813,925.128234863,818.351623535,808.278381348,880.0,,,
1553360314.6065066,,,,,,,
1553360314.6065066,,,,,,,
1553360314.6067331,,,,,,,
1553360314.6067543,,,,,,,
1553360314.6067803,,,,,,,
1553360314.6068966,,,,,,,
1553360314.6069582,,,,,,,
1553360314.6069984,,,,,,,
1553360314.6070294,,,,,,,
1553360314.6070623,,,,,,,
1553360314.6071854,,,,,,,
1553360314.6071973,,,,,,,
1553360314.6072209,,,,,,,
1553360314.6072469,,,,,,,
1553360314.6072774,,,,,,,
1553360314.6073699,,,,,,,
1553360314.6074164,,,,,,,
1553360314.6074352,,,,,,,
1553360314.6074584,,,,,,,
1553360314.6075988,,,,,,,
1553360314.6086276,,,,,2391794.75,168009888.0,159826368.0
1553360314.6103802,888.864440918,817.948730469,805.457885742,832.051269531,,,
1553360314.6142793,851.391967773,817.545776367,807.875488281,809.890136719,,,
1553360314.6181781,877.179504395,821.575073242,810.293029785,858.241760254,,,
1553360314.6220770,917.875488281,826.007324219,823.58972168,894.102539062,,,
1553360314.6242268,,,,,2390989.0,167973632.0,159822352.0
1553360314.6259758,895.311340332,823.186828613,830.036621094,853.809509277,,,
1553360314.6268308,,,,,,,
1553360314.6270916,,,,,,,
1553360314.6298749,848.571411133,817.948730469,817.948730469,812.710632324,,,
1553360314.6337738,859.450561523,819.963378906,813.516479492,853.809509277,,,
1553360314.6366689,,,,,,,
1553360314.6376727,905.384643555,819.963378906,816.739929199,894.908447266,,,
1553360314.6398261,,,,,2391794.75,167920432.0,159889232.0
1553360314.6415715,901.758239746,817.142883301,814.32232666,861.465209961,,,
1553360314.6454706,853.809509277,816.739929199,810.695983887,810.695983887,,,
1553360314.6464643,,,,,,,
1553360314.6467252,,,,,,,
1553360314.6493695,846.959716797,821.575073242,805.054931641,823.992675781,,,
